-57.901	-63.321	LB	OHI2
-57.901	-63.321	LB	OHI3
11.925	57.395	LB	ONS1
11.926	57.395	LB	ONSA
20.794	41.127	LB	ORID
170.511	-45.869	LB	OUS2
-176.369	-44.024	LB	OWMG
11.896	45.411	LB	PADO
-64.051	-64.775	LB	PALM
-70.88	-53.137	LB	PARC
92.712	11.637	LB	PBR4
-25.663	37.748	LB	PDEL
115.885	-31.802	LB	PERT
158.65	53.023	LB	PETS
125.132	6.065	LB	PGEN
121.078	14.636	LB	PIMO
-116.46	33.61	LB	PIN1
147.366	-2.043	LB	PNGM
-51.12	-30.074	LB	POAL
158.21	6.96	LB	POHN
121.041	14.535	LB	PTAG
121.041	14.535	LB	PTGG
168.315	-17.749	LB	PTVL
-46.048	60.715	LB	QAQ1
-64.034	67.559	LB	QIKI
-6.854	33.998	LB	RABT
-25.126	36.986	LB	RAEG
34.763	30.598	LB	RAMO
32.078	-28.796	LB	RBAY
-69.911	18.461	LB	RDSD
-94.893	74.691	LB	RESO
55.572	-21.208	LB	REUN
-21.955	64.139	LB	REYK
-67.752	-53.786	LB	RGDG
-67.751	-53.785	LB	RIO2
-6.206	36.463	LB	ROAG
-68.126	-67.571	LB	ROTH
-44.212	-2.593	LB	SALU
-171.738	-13.849	LB	SAMO
-70.669	-33.15	LB	SANT
-38.432	-12.939	LB	SAVO
-118.49	32.91	LB	SCIP
-21.95	70.485	LB	SCOR
166.758	-77.849	LB	SCTB
-75.762	20.012	LB	SCUB
55.479	-4.674	LB	SEY2
55.531	-4.679	LB	SEYG
-118.755	34.46	LB	SFDM
79.874	6.892	LB	SGOC
121.2	31.1	LB	SHAO
-64.552	46.221	LB	SHE2
103.679	1.343	LB	SIN1
135.937	33.578	LB	SMST
-119.524	33.248	LB	SNI1
159.954	-9.435	LB	SOLO
-118.646	34.059	LB	SPK1
-89.116	13.697	LB	SSIA
-122.173	37.427	LB	STFU
-5.667	-15.943	LB	STHL
-52.678	47.595	LB	STJ3
-52.678	47.595	LB	STJO
141.845	43.529	LB	STK2
-56.168	46.778	LB	STPM
20.81	-32.38	LB	SUTH
20.811	-32.381	LB	SUTM
127.054	37.275	LB	SUWN
29.781	60.533	LB	SVTL
151.15	-33.781	LB	SYDN
39.584	-69.007	LB	SYOG
-117.678	34.382	LB	TABL
120.987	24.798	LB	TCMS
-149.606	-17.577	LB	THTG
-149.606	-17.577	LB	THTI
-68.825	76.537	LB	THU2
148.98	-35.399	LB	TID1
120.987	24.798	LB	TNML
-175.179	-21.145	LB	TONG
147.056	-19.269	LB	TOW2
-117.803	33.618	LB	TRAK
29.451	40.787	LB	TUBI
179.197	-8.525	LB	TUVA
121.165	24.954	LB	TWTF
-118.442	34.069	LB	UCLP
-125.542	48.926	LB	UCLU
-49.231	-25.448	LB	UFPR
-70.681	-33.45	LB	USCL
-77.066	38.921	LB	USN7
282.934	38.921	LB	USN8
282.934	38.921	LB	USN9
178.446	-18.149	LB	USP1
-156.615	71.323	LB	UTQI
57.497	-20.297	LB	VACS
18.367	57.654	LB	VIS0
-120.616	34.556	LB	VNDP
46.793	-21.906	LB	VOIM
174.663	-36.434	LB	WARK
12.101	54.17	LB	WARN
-71.493	42.613	LB	WES2
174.806	-41.323	LB	WGTN
-116.392	33.935	LB	WIDC
105.689	-10.45	LB	XMIS
115.347	-29.047	LB	YAR2
115.347	-29.046	LB	YAR3
115.347	-29.047	LB	YARR
142.717	47.03	LB	YSSK
41.565	43.788	LB	ZECK
